"縣市","106 可留容","106 在養","107 可留容","107 在養","108 可留容","108 在養"
"新北市","1,865","1,378","1,615","1,285","1,615","1,523"
"臺北市",610,619,610,846,610,"1,185"
"臺中市",500,451,500,438,500,445
"臺南市",700,362,700,741,700,999
"高雄市",650,507,800,728,800,811
"桃園市",340,405,425,589,652,683
"宜蘭縣",330,308,330,246,330,283
"新竹縣",32,40,32,42,114,120
"苗栗縣",140,137,220,43,220,165
"彰化縣",161,137,161,119,161,370
"南投縣",300,314,300,305,300,279
"雲林縣",250,250,250,444,250,386
"嘉義縣",110,119,110,113,110,139
"屏東縣",200,177,100,90,100,87
"臺東縣",240,12,120,19,120,24
"花蓮縣",100,89,100,86,100,48
"澎湖縣",120,104,160,149,160,276
"基隆市",150,85,100,85,100,57
"新竹市",120,79,90,81,90,186
"嘉義市",32,36,32,32,100,62
"金門縣",80,64,80,62,200,145
"連江縣",120,40,120,40,120,52
